"cloud_cover","sunshine","global_radiation","max_temp","mean_temp","min_temp","precipitation","pressure","snow_depth"
7,0.2,94,15.4,13,9.7,0.1,102020,0
7,0,81,18.1,12.4,9.4,7.9,101940,0
8,0.6,110,16.4,15.3,12.5,7.2,101150,0
7,1.2,127,16.1,14.4,12.5,2.1,100630,0
6,3.2,172,19.2,11.8,7.4,4.5,100650,0
6,5.8,218,20.7,14.6,9.9,0,102150,0
7,0.6,110,22.6,17,13.3,0,102920,0
5,6.2,224,25.5,18.7,14.8,0,102960,0
1,9.8,277,25.8,19,12.6,0,102570,0
2,11.3,297,19.4,19,12.2,0,102030,0
6,0.6,110,20.1,17,14.6,0.9,101500,0
1,15,343,19.5,15.2,10.3,0,101730,0
5,6.1,223,16.6,14.9,10.3,0,101270,0
5,5.5,213,18.5,13.8,11,1.2,100720,0
5,8.6,260,19.9,14,9.5,2.1,101250,0
6,7.5,244,21.4,15.2,10.5,0,101640,0
5,5.9,219,20.8,16,10.6,0,101970,0
4,9.3,269,17.6,15.5,10.2,0,102070,0
6,5.5,212,16.6,15.8,13.9,0,101890,0
7,0.1,89,18.5,14.1,11.6,0,102260,0
5,3.6,179,18.7,13.8,9,0,102510,0
5,4.7,198,22.1,15.1,11.5,0,102390,0
5,7.1,236,23.4,16.9,11.7,0,102470,0
4,6.3,224,25.5,18.4,13.4,0,102840,0
2,12.5,285,25.1,19.3,13.1,0,102970,0
4,8.5,256,21.9,19.6,14.1,0,102680,0
6,5.5,210,23.1,17.6,13.4,0,102140,0
7,5.6,212,20.8,18,13,0.5,101970,0
6,8.1,249,22,18.6,16.5,0,101820,0
6,8.6,256,20.8,17.2,12.4,0,102370,0
7,0.6,107,25.1,17.4,14,0,102180,0
4,13,304,26.2,18.4,11.6,0,101840,0
3,10.3,278,22.1,19.3,12.4,0,102060,0
5,11.2,289,21.1,17.6,13,0,102640,0
7,4.5,190,23.6,18.3,15.5,0,102730,0
7,3.1,165,26.7,17.8,12.1,0,102370,0
3,11.9,296,21.8,20,13.4,0,102030,0
6,0.6,105,17.7,18.9,16,0,101360,0
8,0.7,108,21.5,15.8,14,0,101400,0
6,8.7,252,19.5,17.6,13.6,0,101450,0
6,3.5,170,18.1,16.2,13,0,101380,0
6,0.1,84,18.7,13.8,9.4,0,102260,0
7,0.4,97,21.1,15.8,12.9,0,102440,0
6,2.3,145,25.2,16.7,12.3,8.5,102050,0
5,5.8,206,27.1,18.9,12.6,0,101860,0
6,10.7,274,29.9,20.2,13.2,0,101970,0
5,11.3,280,27.4,22.2,14.6,0,102060,0
5,5.8,204,19.8,21.9,16.4,8,101890,0
6,0.9,110,21.5,18.6,17.3,0.1,101070,0
6,0.7,103,20.8,17.8,14.1,2.4,100830,0
6,5.9,203,23.1,17.8,14.8,2.2,100220,0
5,6.1,205,21.6,18.6,14.1,0,100070,0
5,5.3,192,20,17.8,14,1,100530,0
6,4.2,174,21.6,17,14,3,101320,0
6,7.2,219,22.5,17.9,14.2,0,102030,0
6,9.7,251,24.8,17,11.4,0,101900,0
6,5.5,192,23.1,19.2,13.6,0.2,101360,0
7,3.2,153,20.1,19.6,16.1,0,100740,0
6,2.7,144,20.1,15.7,11.3,11,101090,0
6,3.3,154,20,16.6,13,3.1,100340,0
6,5.5,188,23.6,15,9.9,0.3,101470,0
6,5.5,187,25,19.3,15,0.9,101570,0
6,1.5,116,21.5,20.6,16.3,0,101800,0
8,0.2,79,20.4,19.2,16.9,1.2,101450,0
6,8.1,220,21.3,18.6,16.7,0,100190,0
4,9.1,232,21,16,10.7,0,101210,0
5,6.2,192,18.3,15.4,9.8,5.8,101370,0
7,0.7,93,18.2,16,13.7,2.3,100550,0
7,0.1,72,19.8,15.4,12.7,0,101440,0
